chr	strand	gene_locus	gene_id	gene_name	gene_biotype	sites_position_cDNA	sites_num	cDNA_sum	c1:d14_WT1	c2:d14_WT2	c3:d14_WT3	c4:d14_WT4	t1:d14_HET1	t2:d14_HET2	t3:d14_HET3	t4:d14_HET4
6	-	chr6:134446475-134566964	ENSMUSG00000030201	Lrp6	protein_coding	[134446492]	1	113	6	13	21	9	19	15	21	9
7	-	chr7:78192361-78578407	ENSMUSG00000059146	Ntrk3	protein_coding	[78300692]	1	645	43	117	107	62	84	85	80	67
6	+	chr6:135197976-135244954	ENSMUSG00000030207	8430419L09Rik	protein_coding	[135236235]	1	738	55	155	104	102	78	98	68	78
X	+	chrX:9272755-9313249	ENSMUSG00000015342	Xk	protein_coding	[9313242]	1	346	26	49	42	49	38	45	49	48
8	-	chr8:23241352-23257073	ENSMUSG00000015341	Golga7	protein_coding	[23241331]	1	122	7	21	17	15	11	12	20	19
6	+	chr6:135011611-135023775	ENSMUSG00000030204	Ddx47	protein_coding	[135023770]	1	919	47	206	130	111	97	117	98	113
2	-	chr2:140650913-140671468	ENSMUSG00000051379	Flrt3	protein_coding	[140658198]	1	87	13	12	15	7	10	9	14	7
18	-	chr18:38185913-38212052	ENSMUSG00000051375	Pcdh1	protein_coding	[38185914, 38196694]	2	339	27	51	41	52	44	51	42	31
9	+	chr9:67759436-67760929	ENSMUSG00000091956	C2cd4b	protein_coding	[67760928]	1	59	4	13	5	10	4	6	10	7
5	-	chr5:139271875-139325621	ENSMUSG00000056413	Adap1	protein_coding	[139271875]	1	738	52	147	99	79	125	92	70	74
14	-	chr14:52294667-52305127	ENSMUSG00000022160	Mettl3	protein_coding	[52294856]	1	92	6	11	18	10	15	13	9	10
18	+	chr18:57878677-57946820	ENSMUSG00000024597	Slc12a2	protein_coding	[57946812]	1	224	19	34	34	29	17	23	36	32
6	-	chr6:54923948-54972611	ENSMUSG00000038058	Nod1	protein_coding	[54923948]	1	80	13	16	10	9	13	10	6	3
5	-	chr5:25271797-25498782	ENSMUSG00000038056	Kmt2c	protein_coding	[25271797]	1	1244	93	213	180	130	159	161	166	142
16	-	chr16:10502530-10543053	ENSMUSG00000038055	Dexi	protein_coding	[10530208]	1	339	27	70	54	29	53	27	43	36
13	+	chr13:46418299-46431089	ENSMUSG00000038132	Rbm24	protein_coding	[46431089]	1	224	25	34	40	21	19	25	30	30
2	+	chr2:70553071-70602013	ENSMUSG00000070880	Gad1	protein_coding	[70602011]	1	1803	137	330	252	196	223	264	193	208
9	-	chr9:58218075-58249785	ENSMUSG00000036986	Pml	protein_coding	[58218541]	1	40	1	10	9	1	6	2	3	8
5	-	chr5:138178616-138187450	ENSMUSG00000036980	Taf6	protein_coding	[138178621]	1	361	29	58	60	35	49	46	40	44
1	-	chr1:59100589-59120407	ENSMUSG00000038079	Tmem237	protein_coding	[59100594]	1	303	25	51	38	38	40	37	37	37
7	-	chr7:105604462-105633570	ENSMUSG00000036989	Trim3	protein_coding	[105610649]	1	246	22	47	33	24	28	25	29	38
4	+	chr4:155249801-155256686	ENSMUSG00000073684	Faap20	protein_coding	[155256682]	1	446	24	66	82	50	51	48	58	67
15	-	chr15:42424726-42676976	ENSMUSG00000022309	Angpt1	protein_coding	[42424726]	1	84	3	15	18	11	16	4	9	8
3	-	chr3:110246108-110250997	ENSMUSG00000049300	Prmt6	protein_coding	[110248553, 110248813, 110246111]	3	668	39	113	88	77	80	91	92	88
15	-	chr15:39870602-39943993	ENSMUSG00000022305	Lrp12	protein_coding	[39868943, 39870591]	2	1211	88	196	176	141	148	138	160	164
15	+	chr15:41447481-41861047	ENSMUSG00000022307	Oxr1	protein_coding	[41860240, 41861044]	2	295	20	47	45	24	34	38	53	34
15	+	chr15:40655041-41104591	ENSMUSG00000022306	Zfpm2	protein_coding	[41104586, 40664183]	2	132	5	25	24	18	14	16	15	15
6	-	chr6:50188887-50263861	ENSMUSG00000029821	Dfna5	protein_coding	[50207403]	1	227	24	34	24	19	34	38	25	29
15	+	chr15:39112864-39146855	ENSMUSG00000022300	Dcaf13	protein_coding	[39146852]	1	1150	77	165	166	127	145	157	154	159
6	+	chr6:38551333-38609469	ENSMUSG00000029823	Luc7l2	protein_coding	[38603874, 38610213, 38557671, 38609420, 38607152, 38592764, 38605253]	7	2428	163	368	402	263	281	298	348	305
13	-	chr13:23353102-23369207	ENSMUSG00000046351	Zfp322a	protein_coding	[23353593, 23355343, 23353103]	3	531	28	75	97	87	60	46	70	68
7	+	chr7:46796102-46823799	ENSMUSG00000006599	Gtf2h1	protein_coding	[46823798, 46823238]	2	666	47	104	90	63	81	79	106	96
2	-	chr2:109092296-109280747	ENSMUSG00000057234	Mettl15	protein_coding	[109092299]	1	154	16	21	18	8	27	18	28	18
12	-	chr12:112772193-112802656	ENSMUSG00000072812	Ahnak2	protein_coding	[112772197]	1	118	9	37	16	13	7	14	14	8
4	-	chr4:129307099-129335369	ENSMUSG00000057236	Rbbp4	protein_coding	[129309515, 129309660]	2	4436	343	744	627	513	535	490	613	571
12	-	chr12:51875872-51971320	ENSMUSG00000035181	Heatr5a	protein_coding	[51875872]	1	238	19	33	35	30	36	26	33	26
13	-	chr13:100697026-100730941	ENSMUSG00000069089	Cdk7	protein_coding	[100697026]	1	99	11	11	14	6	10	18	13	16
7	+	chr7:131371140-131387838	ENSMUSG00000063179	Pstk	protein_coding	[131387835]	1	153	10	29	21	18	21	16	17	21
19	+	chr19:55253368-55296626	ENSMUSG00000024981	Acsl5	protein_coding	[55296626]	1	401	41	76	51	44	44	56	44	45
11	-	chr11:115347706-115367755	ENSMUSG00000034586	Hid1	protein_coding	[115347709]	1	599	37	98	89	76	65	73	84	77
11	+	chr11:3452364-3479830	ENSMUSG00000034587	8430429K09Rik	processed_transcript	[3458337]	1	45	3	9	5	2	7	4	7	8
1	-	chr1:127753615-127774091	ENSMUSG00000102014	2900009J06Rik	antisense	[127753692]	1	48	5	5	5	3	8	8	6	8
11	+	chr11:70764208-70772927	ENSMUSG00000043602	Zfp3	protein_coding	[70776266]	1	61	2	9	13	5	7	7	8	10
15	+	chr15:102203647-102215605	ENSMUSG00000046897	Zfp740	protein_coding	[102215597]	1	436	33	70	56	62	55	60	44	56
19	-	chr19:16616762-16780821	ENSMUSG00000046230	Vps13a	protein_coding	[16632557]	1	180	19	36	22	9	22	26	27	19
4	+	chr4:129513580-129515984	ENSMUSG00000047945	Marcksl1	protein_coding	[129515973]	1	8880	683	1351	1186	1114	1092	995	1272	1187
18	-	chr18:34562633-34579114	ENSMUSG00000035984	Nme5	protein_coding	[34562639]	1	33	5	8	4	5	1	5	3	2
17	+	chr17:45433851-45442543	ENSMUSG00000097119	B230354K17Rik	lincRNA	[45442543]	1	72	6	10	17	12	6	5	7	9
13	+	chr13:55693123-55703498	ENSMUSG00000045767	B230219D22Rik	protein_coding	[55703498]	1	3344	250	579	487	369	419	373	418	449
6	-	chr6:83305690-83325907	ENSMUSG00000005667	Mthfd2	protein_coding	[83305705]	1	314	30	52	36	42	43	35	40	36
8	-	chr8:84249905-84257325	ENSMUSG00000004996	Mri1	protein_coding	[84251487]	1	72	4	12	8	8	11	9	8	12
15	-	chr15:25363284-25413763	ENSMUSG00000045763	Basp1	protein_coding	[25364084, 25363499, 25363276]	3	8410	645	1427	1333	885	978	1039	1125	978
4	-	chr4:109451097-109484727	ENSMUSG00000028557	Rnf11	protein_coding	[109452962, 109452557]	2	1347	122	229	184	167	152	174	181	138
9	+	chr9:108936632-108949622	ENSMUSG00000025651	Uqcrc1	protein_coding	[108949620]	1	1010	73	173	144	89	119	138	125	149
3	+	chr3:138742194-138907904	ENSMUSG00000028152	Tspan5	protein_coding	[138904424]	1	1123	90	171	151	121	158	125	156	151
8	+	chr8:94532989-94570528	ENSMUSG00000034361	Cpne2	protein_coding	[94570385, 94570527]	2	853	71	149	131	86	93	124	117	82
3	-	chr3:137931006-137981544	ENSMUSG00000028159	Dapp1	protein_coding	[137931194]	1	33	5	6	5	3	5	2	5	2
4	+	chr4:123183226-123194700	ENSMUSG00000046093	Hpcal4	protein_coding	[123194699]	1	469	49	88	60	47	44	56	72	53
2	-	chr2:148404465-148408187	ENSMUSG00000074743	Thbd	protein_coding	[148404474]	1	128	11	47	16	10	15	11	8	10
12	+	chr12:81860029-82000923	ENSMUSG00000021140	Pcnx	protein_coding	[81998328, 82000917]	2	640	46	92	88	76	83	62	107	86
19	-	chr19:59296083-59345779	ENSMUSG00000074746	Pdzd8	protein_coding	[59296089, 59298190, 59299991]	3	392	23	76	65	47	43	42	43	53
13	-	chr13:8802967-8871908	ENSMUSG00000021147	Wdr37	protein_coding	[8802996, 8850478]	2	1054	93	167	148	126	122	122	143	133
2	+	chr2:174110348-174123069	ENSMUSG00000039263	Npepl1	protein_coding	[174122699]	1	46	4	9	3	8	4	7	4	7
10	-	chr10:112925429-112929000	ENSMUSG00000074748	Atxn7l3b	protein_coding	[112928269]	1	3299	203	537	566	377	386	385	410	435
11	+	chr11:6415442-6419816	ENSMUSG00000071866	Ppia	protein_coding	[6419816]	1	3304	251	595	462	365	385	398	438	410
14	+	chr14:20348161-20383488	ENSMUSG00000039599	Fam149b	protein_coding	[20376400, 20383488, 20368562, 20369183]	4	246	14	36	37	23	24	38	37	37
18	-	chr18:35209010-35215023	ENSMUSG00000071862	Lrrtm2	protein_coding	[35209933]	1	250	24	51	31	23	30	29	36	26
16	+	chr16:44173245-44227464	ENSMUSG00000068284	Gm608	protein_coding	[44227462]	1	222	18	37	40	30	26	27	21	23
10	-	chr10:81019588-81025661	ENSMUSG00000043670	Diras1	protein_coding	[81019589]	1	881	62	211	104	94	137	127	74	72
11	+	chr11:32000462-32059201	ENSMUSG00000020297	Nsg2	protein_coding	[32059201]	1	8872	583	1427	1294	1029	1071	1119	1184	1165
4	+	chr4:136143496-136145754	ENSMUSG00000007872	Id3	protein_coding	[136145385]	1	2636	199	431	360	269	314	314	423	326
10	+	chr10:56377299-56390418	ENSMUSG00000050953	Gja1	protein_coding	[56390427]	1	103	7	26	11	11	13	14	8	13
13	+	chr13:68582247-68592278	ENSMUSG00000021532	Fastkd3	protein_coding	[68592336]	1	63	4	18	12	9	2	3	7	8
13	-	chr13:3882564-3918219	ENSMUSG00000021215	Net1	protein_coding	[3882564]	1	105	11	17	24	8	10	11	15	9
10	+	chr10:36506813-36834396	ENSMUSG00000044499	Hs3st5	protein_coding	[36629241]	1	75	3	15	11	9	12	12	5	8
13	-	chr13:68620042-68999540	ENSMUSG00000021536	Adcy2	protein_coding	[68620061]	1	469	38	76	66	54	62	51	67	55
5	+	chr5:124862690-124902692	ENSMUSG00000079215	Zfp664	protein_coding	[124888628]	1	860	59	134	127	97	90	102	138	113
13	+	chr13:68597438-68614230	ENSMUSG00000021534	1700001L19Rik	protein_coding	[68613285]	1	56	1	13	9	9	6	8	5	5
17	+	chr17:29660594-29705978	ENSMUSG00000024019	Cmtr1	protein_coding	[29705971, 29703358]	2	681	51	102	104	72	65	86	110	91
4	+	chr4:147940894-147947313	ENSMUSG00000044496	2510039O18Rik	protein_coding	[147947313]	1	1576	114	298	217	177	177	211	207	175
1	+	chr1:167001416-167091301	ENSMUSG00000060568	Fam78b	protein_coding	[167091006]	1	426	27	70	62	38	57	67	62	43
10	+	chr10:13966074-14151373	ENSMUSG00000015501	Hivep2	protein_coding	[14151373]	1	505	38	85	84	50	58	51	68	71
15	-	chr15:103153306-103158001	ENSMUSG00000036061	Smug1	protein_coding	[103153290]	1	110	3	23	12	11	11	17	11	22
17	-	chr17:32321424-32350580	ENSMUSG00000002625	Akap8l	protein_coding	[32321424]	1	400	28	80	52	45	45	57	49	44
5	-	chr5:31514563-31527806	ENSMUSG00000053134	Supt7l	protein_coding	[31514569]	1	99	8	14	19	9	9	17	14	9
4	+	chr4:42916659-42944751	ENSMUSG00000036062	Phf24	protein_coding	[42944147]	1	393	27	54	53	49	62	52	51	45
14	-	chr14:55739019-55745689	ENSMUSG00000002332	Dhrs1	protein_coding	[55739021]	1	1902	166	329	249	206	247	242	228	235
11	-	chr11:8431651-8664534	ENSMUSG00000020422	Tns3	protein_coding	[8431653]	1	176	14	30	26	26	29	23	17	11
3	-	chr3:79455973-79567795	ENSMUSG00000061175	Fnip2	protein_coding	[79456258]	1	284	21	30	44	35	30	35	44	45
1	-	chr1:91415981-91459323	ENSMUSG00000055866	Per2	protein_coding	[91415983]	1	186	10	26	30	16	23	25	33	23
9	+	chr9:113930933-113977198	ENSMUSG00000009741	Ubp1	protein_coding	[113977000, 113977198]	2	1191	75	200	172	136	162	141	175	130
10	-	chr10:89711972-89732294	ENSMUSG00000019948	Actr6	protein_coding	[89711972]	1	360	23	69	50	35	38	44	48	53
12	+	chr12:69372149-69375978	ENSMUSG00000044147	Arf6	protein_coding	[69375978, 69373780]	2	1332	99	236	185	162	180	143	151	176
8	+	chr8:111940702-111953611	ENSMUSG00000031950	Gabarapl2	protein_coding	[111955381, 111953230]	2	767	64	134	97	96	95	95	99	87
2	-	chr2:127186354-127208279	ENSMUSG00000044145	1810024B03Rik	protein_coding	[127204611]	1	36	4	9	5	5	2	2	2	7
7	+	chr7:120597624-120598474	ENSMUSG00000044141	E130201H02Rik	processed_pseudogene	[120598469]	1	41	6	7	2	2	2	9	10	3
11	-	chr11:69599735-69605941	ENSMUSG00000041329	Atp1b2	protein_coding	[69599728]	1	1061	94	191	148	124	149	110	147	98
X	-	chrX:36887539-36902898	ENSMUSG00000044149	Nkrf	protein_coding	[36886440, 36887543]	2	344	20	45	65	32	45	36	50	51
X	-	chrX:12654878-12673667	ENSMUSG00000044148	1810030O07Rik	protein_coding	[12654884]	1	820	52	146	103	97	106	115	102	99
10	+	chr10:59221952-59226433	ENSMUSG00000098188	Sowahc	protein_coding	[59226430]	1	750	56	133	109	95	95	69	103	90
2	+	chr2:52072836-52122382	ENSMUSG00000036202	Rif1	protein_coding	[52112265, 52126767, 52122379, 52107717, 52122111]	5	498	29	83	85	46	51	62	68	74
16	+	chr16:92485735-92541242	ENSMUSG00000022949	Clic6	protein_coding	[92541240]	1	38	2	10	6	3	2	7	2	6
16	-	chr16:93583456-93604062	ENSMUSG00000022948	Setd4	protein_coding	[93583462]	1	102	6	17	17	10	14	11	11	16
1	-	chr1:43123073-43196983	ENSMUSG00000008136	Fhl2	protein_coding	[43123073]	1	284	17	54	49	33	31	36	30	34
15	-	chr15:85806971-85811696	ENSMUSG00000064284	Cdpf1	protein_coding	[85806973]	1	64	3	12	19	6	6	7	10	1
2	+	chr2:61578584-61654170	ENSMUSG00000064289	Tank	protein_coding	[61654166]	1	35	4	7	9	1	3	5	1	5
16	+	chr16:93683214-93690989	ENSMUSG00000022947	Cbr3	protein_coding	[93690985]	1	86	4	10	13	11	15	7	13	13
16	+	chr16:93711906-93810584	ENSMUSG00000022946	Dopey2	protein_coding	[93810580]	1	568	42	91	87	62	90	75	50	71
11	+	chr11:6658520-6677474	ENSMUSG00000041046	Ramp3	protein_coding	[6677473]	1	644	41	139	78	75	97	93	72	49
5	+	chr5:33018815-33027965	ENSMUSG00000018965	Ywhah	protein_coding	[33027964]	1	12379	955	2205	1850	1432	1509	1487	1471	1470
X	-	chrX:155323917-155340753	ENSMUSG00000025289	Prdx4	protein_coding	[155323920]	1	451	42	69	64	48	64	61	59	44
7	+	chr7:101663632-101790167	ENSMUSG00000001829	Clpb	protein_coding	[101791954, 101792630]	2	94	4	13	18	14	13	13	6	13
2	-	chr2:137081455-137116643	ENSMUSG00000027276	Jag1	protein_coding	[137081463]	1	171	14	31	19	15	23	24	29	16
2	-	chr2:136873779-136891388	ENSMUSG00000027274	Mkks	protein_coding	[136881410, 136873782]	2	288	18	44	50	25	41	39	36	35
12	+	chr12:51690965-51738938	ENSMUSG00000020955	Ap4s1	protein_coding	[51738929]	1	506	39	92	72	51	51	56	70	75
2	+	chr2:136713452-136782427	ENSMUSG00000027273	Snap25	protein_coding	[136782418]	1	3915	316	715	563	409	492	512	461	447
2	+	chr2:136052238-136069916	ENSMUSG00000027270	Lamp5	protein_coding	[136069909]	1	731	70	128	107	88	91	81	89	77
8	-	chr8:116888684-116921454	ENSMUSG00000014633	Cmc2	protein_coding	[116889517]	1	93	6	9	14	10	11	14	17	12
7	+	chr7:73375519-73419898	ENSMUSG00000070509	Rgma	protein_coding	[73419897]	1	3944	279	663	589	428	504	482	531	468
5	-	chr5:112419150-112577184	ENSMUSG00000058153	Sez6l	protein_coding	[112419159]	1	895	84	157	130	96	105	96	116	111
18	+	chr18:59175400-59410445	ENSMUSG00000058152	Chsy3	protein_coding	[59411307]	1	39	2	5	6	6	4	6	4	6
4	+	chr4:124731693-124731801	ENSMUSG00000076271	Mir697	miRNA	[124732439]	1	92	7	15	23	8	9	8	15	7
15	-	chr15:60818993-60853777	ENSMUSG00000072568	Fam84b	protein_coding	[60819317]	1	205	17	29	25	21	30	22	28	33
6	-	chr6:42668001-42710087	ENSMUSG00000036667	Tcaf1	protein_coding	[42667982]	1	263	21	46	38	35	30	27	37	29
16	-	chr16:18620318-18622402	ENSMUSG00000050761	Gp1bb	protein_coding	[18620465]	1	65	3	11	16	11	6	9	2	7
7	+	chr7:13024151-13031034	ENSMUSG00000005566	Trim28	protein_coding	[13031030]	1	3674	233	587	525	447	491	484	415	492
4	+	chr4:120405280-120530185	ENSMUSG00000000085	Scmh1	protein_coding	[120530186, 120458146]	2	256	15	36	28	27	25	48	40	37
9	+	chr9:57521231-57532423	ENSMUSG00000000088	Cox5a	protein_coding	[57532422]	1	8004	582	1317	1175	875	963	897	1126	1069
4	-	chr4:133605298-133650153	ENSMUSG00000037553	Zdhhc18	protein_coding	[133606993, 133605311]	2	518	46	89	70	51	71	67	61	63
15	+	chr15:102102987-102116400	ENSMUSG00000037003	Tns2	protein_coding	[102116392]	1	32	5	8	2	5	5	5	0	2
1	-	chr1:97706047-97770410	ENSMUSG00000040648	Ppip5k2	protein_coding	[97706162]	1	1909	133	337	252	222	224	268	215	258
6	-	chr6:122447295-122498760	ENSMUSG00000040649	Rimklb	protein_coding	[122455233, 122447297, 122455020, 122453107, 122454552]	5	1962	127	278	271	214	246	280	282	264
6	-	chr6:87628423-87672192	ENSMUSG00000030051	Aplf	protein_coding	[87628428]	1	40	1	8	5	7	5	6	1	7
8	+	chr8:9977706-9992154	ENSMUSG00000040396	Abhd13	protein_coding	[9992040, 9991875, 9989046]	3	370	28	50	51	46	47	46	54	48
17	+	chr17:35861317-35865401	ENSMUSG00000059791	Nrm	protein_coding	[35865398]	1	262	17	47	32	30	37	29	35	35
14	+	chr14:27622441-28478536	ENSMUSG00000040640	Erc2	protein_coding	[28478528]	1	2076	147	381	299	264	249	283	243	210
7	-	chr7:27656374-27674597	ENSMUSG00000040390	Map3k10	protein_coding	[27665469]	1	70	6	10	9	4	11	8	10	12
6	-	chr6:97152996-97179121	ENSMUSG00000030059	Tmf1	protein_coding	[97154473, 97153163, 97153509]	3	435	43	70	71	44	40	58	58	51
16	-	chr16:20619214-20621286	ENSMUSG00000051146	Camk2n2	protein_coding	[20619224]	1	3352	259	587	476	373	413	423	402	419
2	+	chr2:83644434-83664621	ENSMUSG00000027091	Zc3h15	protein_coding	[83666819, 83664613, 83667446]	3	1873	124	293	282	218	226	255	232	243
2	-	chr2:168180985-168207111	ENSMUSG00000051149	Adnp	protein_coding	[168180988]	1	6584	490	1084	928	807	770	826	832	847
11	-	chr11:4091479-4095444	ENSMUSG00000004748	Mtfp1	protein_coding	[4091480]	1	79	9	10	8	14	5	11	10	12
3	-	chr3:107663117-107696559	ENSMUSG00000027893	Ahcyl1	protein_coding	[107663121]	1	1540	116	252	217	170	173	175	222	215
3	-	chr3:108040407-108044893	ENSMUSG00000027890	Gstm4	protein_coding	[108040409]	1	214	15	50	25	21	21	45	16	21
1	+	chr1:87326997-87450795	ENSMUSG00000048000	Gigyf2	protein_coding	[87355721, 87357693, 87356215]	3	234	11	50	35	28	27	26	26	31
4	+	chr4:154960922-154962370	ENSMUSG00000048001	Hes5	protein_coding	[154962370]	1	2561	164	429	358	300	334	336	297	343
8	-	chr8:105935727-105938391	ENSMUSG00000031897	Psmb10	protein_coding	[105935733]	1	341	30	56	49	20	46	49	40	51
19	-	chr19:4800568-4811633	ENSMUSG00000006456	Rbm14	protein_coding	[4800924]	1	388	31	72	56	46	56	36	50	41
X	+	chrX:100767721-100818409	ENSMUSG00000000881	Dlg3	protein_coding	[100818407]	1	1073	82	163	140	105	161	125	143	154
16	+	chr16:18498767-18566678	ENSMUSG00000000884	Gnb1l	protein_coding	[18503387, 18564535]	2	234	17	35	44	21	33	21	30	33
10	+	chr10:7681208-7716457	ENSMUSG00000040021	Lats1	protein_coding	[7716457, 7717226, 7716090]	3	394	31	65	54	46	47	43	54	54
19	-	chr19:59902883-59943653	ENSMUSG00000040022	Rab11fip2	protein_coding	[59905632, 59902885, 59903725]	3	692	51	113	99	60	92	83	92	102
4	-	chr4:132184911-132212302	ENSMUSG00000040025	Ythdf2	protein_coding	[132186064]	1	525	35	81	75	46	62	65	85	76
8	-	chr8:4284781-4325099	ENSMUSG00000040028	Elavl1	protein_coding	[4288344, 4284985, 4285366, 4284782]	4	1280	109	195	186	162	144	147	178	159
6	-	chr6:148770682-148831466	ENSMUSG00000040029	Ipo8	protein_coding	[148770692]	1	153	11	23	26	23	17	17	17	19
4	+	chr4:106910700-107049693	ENSMUSG00000061887	Ssbp3	protein_coding	[107048693]	1	140	12	21	27	13	18	16	15	18
13	-	chr13:24012343-24280794	ENSMUSG00000021338	Lrrc16a	protein_coding	[24012482]	1	200	14	38	28	16	23	24	34	23
12	-	chr12:87166241-87200228	ENSMUSG00000034111	Tmed8	protein_coding	[87166240]	1	715	55	119	106	71	103	75	97	89
5	+	chr5:130144860-130155805	ENSMUSG00000034110	Kctd7	protein_coding	[130155113]	1	136	7	37	15	14	18	19	14	12
X	-	chrX:47809367-47892973	ENSMUSG00000031099	Smarca1	protein_coding	[47809457, 47809637]	2	295	14	57	37	33	34	36	39	45
5	+	chr5:31240863-31251565	ENSMUSG00000029148	Nrbp1	protein_coding	[31251559]	1	1472	126	235	197	190	180	223	148	173
12	-	chr12:78842988-78861637	ENSMUSG00000021114	Atp6v1d	protein_coding	[78842982]	1	759	55	108	111	88	94	93	105	105
X	+	chrX:35888831-36076561	ENSMUSG00000031093	Dock11	protein_coding	[36076561]	1	144	7	18	18	13	20	17	28	23
X	-	chrX:38533273-38576195	ENSMUSG00000031095	Cul4b	protein_coding	[38533569, 38531527]	2	79	1	15	16	10	12	5	10	10
5	-	chr5:31187557-31193429	ENSMUSG00000029145	Eif2b4	protein_coding	[31187567]	1	468	27	76	68	52	64	51	64	66
16	-	chr16:32084417-32099737	ENSMUSG00000023791	Pigx	protein_coding	[32084421]	1	890	64	136	117	97	92	110	139	135
X	-	chrX:95935334-95956961	ENSMUSG00000057421	Las1l	protein_coding	[95935325]	1	304	21	50	40	28	39	40	55	31
17	+	chr17:24426682-24439315	ENSMUSG00000024132	Eci1	protein_coding	[24439315]	1	107	9	19	14	10	17	14	11	13
17	+	chr17:34981861-34985890	ENSMUSG00000007050	Lsm2	protein_coding	[34985887]	1	420	23	83	44	41	54	64	50	61
2	+	chr2:25395873-25401320	ENSMUSG00000015085	Entpd2	protein_coding	[25401314]	1	77	6	24	7	7	8	10	10	5
5	+	chr5:129846985-129864049	ENSMUSG00000025538	Sumf2	protein_coding	[129863431]	1	49	5	7	12	6	5	8	4	2
6	+	chr6:47877203-47908484	ENSMUSG00000025821	Zfp282	protein_coding	[47906967]	1	584	51	93	81	63	68	72	83	73
1	+	chr1:57377619-57385422	ENSMUSG00000038323	1700066M21Rik	protein_coding	[57385419]	1	190	18	27	31	19	17	24	27	27
5	-	chr5:130011257-130029246	ENSMUSG00000025533	Asl	protein_coding	[130008869]	1	95	4	10	16	7	21	10	12	15
X	-	chrX:113040592-113185516	ENSMUSG00000025531	Chm	protein_coding	[113040592]	1	180	15	27	24	21	25	25	25	18
11	+	chr11:120467634-120483983	ENSMUSG00000025793	Hgs	protein_coding	[120483974]	1	997	77	188	145	94	107	111	119	156
11	+	chr11:120491839-120499186	ENSMUSG00000025792	Slc25a10	protein_coding	[120499164]	1	40	4	11	4	2	5	6	1	7
4	+	chr4:99929413-99987293	ENSMUSG00000025791	Pgm2	protein_coding	[99987293]	1	1866	147	333	234	211	252	242	219	228
7	-	chr7:74275418-74554779	ENSMUSG00000025790	Slco3a1	protein_coding	[74281977, 74275418]	2	333	31	66	38	41	42	31	40	44
10	-	chr10:121410349-121476249	ENSMUSG00000025795	Rassf3	protein_coding	[121410355]	1	260	27	60	34	29	33	25	33	19
9	+	chr9:120571516-120574652	ENSMUSG00000025794	Rpl14	protein_coding	[120574431]	1	4745	326	935	649	566	573	699	484	513
8	-	chr8:121598702-121652900	ENSMUSG00000061410	Zcchc14	protein_coding	[121600367]	1	361	21	53	57	38	46	38	60	48
2	-	chr2:153407461-153529970	ENSMUSG00000061411	Nol4l	protein_coding	[153407461]	1	581	35	78	98	56	80	76	72	86
5	+	chr5:3596065-3637231	ENSMUSG00000005907	Pex1	protein_coding	[3636962, 3637093]	2	295	21	38	41	26	38	46	36	49
11	-	chr11:5069688-5099265	ENSMUSG00000009079	Ewsr1	protein_coding	[5069687]	1	707	46	115	88	103	71	97	104	83
5	-	chr5:110274281-110286185	ENSMUSG00000029499	Pxmp2	protein_coding	[110274296]	1	96	6	20	18	7	13	8	13	11
5	+	chr5:88764995-88783280	ENSMUSG00000029366	Dck	protein_coding	[88783273]	1	626	55	109	100	60	75	63	88	76
5	+	chr5:117357303-117378600	ENSMUSG00000029364	Wsb2	protein_coding	[117378572, 117377806]	2	337	35	55	56	34	46	42	38	31
11	-	chr11:4765844-4849535	ENSMUSG00000009073	Nf2	protein_coding	[4765851]	1	3373	254	710	420	400	462	513	323	291
5	-	chr5:117378102-117389046	ENSMUSG00000029363	Rfc5	protein_coding	[117379146]	1	218	7	54	25	19	24	31	23	35
11	+	chr11:4704677-4737668	ENSMUSG00000009076	Zmat5	protein_coding	[4737667]	1	108	3	19	26	16	8	13	14	9
15	-	chr15:100387897-100425071	ENSMUSG00000023030	Slc11a2	protein_coding	[100388760, 100392657, 100387901, 100394959]	4	569	32	94	91	55	60	83	77	77
7	-	chr7:109972186-109986928	ENSMUSG00000047554	Tmem41b	protein_coding	[109971214]	1	96	12	18	8	8	10	8	14	18
8	-	chr8:9970019-9977685	ENSMUSG00000049717	Lig4	protein_coding	[9970021]	1	424	34	70	62	49	44	45	61	59
1	+	chr1:182124736-182132406	ENSMUSG00000026511	Srp9	protein_coding	[182132386]	1	669	57	112	104	70	84	87	73	82
10	+	chr10:93453395-93484895	ENSMUSG00000015889	Lta4h	protein_coding	[93484873]	1	662	61	100	95	64	86	73	87	96
17	-	chr17:78649912-78737195	ENSMUSG00000024077	Strn	protein_coding	[78649913]	1	320	20	72	44	33	32	53	33	33
5	-	chr5:121371724-121385631	ENSMUSG00000042726	Trafd1	protein_coding	[121371732]	1	815	62	117	104	90	104	103	116	119
15	+	chr15:101266845-101274791	ENSMUSG00000023034	Nr4a1	protein_coding	[101274790]	1	110	6	17	14	9	17	7	25	15
5	-	chr5:45697180-45857614	ENSMUSG00000015882	Lcorl	protein_coding	[45697185, 45730330]	2	899	72	141	118	108	100	120	128	112
8	-	chr8:86723939-86746005	ENSMUSG00000036840	Siah1a	protein_coding	[86724889, 86732164]	2	125	8	23	23	23	11	13	12	12
19	+	chr19:8735838-8740622	ENSMUSG00000042729	Wdr74	protein_coding	[8740618]	1	207	10	24	36	20	37	30	24	26
2	-	chr2:91061790-91070416	ENSMUSG00000002105	Slc39a13	protein_coding	[91061790]	1	232	16	37	20	26	29	37	28	39
