chr	strand	gene_locus	gene_id	gene_name	gene_biotype	sites_position_cDNA	sites_num	cDNA_sum	c1:KO_WT1	c2:KO_WT2	c3:KO_WT3	c4:KO_WT4	t1:KO_HOM1	t2:KO_HOM2	t3:KO_HOM3	t4:KO_HOM4
18	-	chr18:14968684-15151445	ENSMUSG00000036225	Kctd1	protein_coding	[14969403, 14968685]	2	460	57	63	44	39	39	66	82	70
13	-	chr13:96648966-96670935	ENSMUSG00000021670	Hmgcr	protein_coding	[96648966, 96659949]	2	5339	690	656	642	552	643	778	762	616
1	+	chr1:163994888-163997242	ENSMUSG00000041396	Mettl18	protein_coding	[163997240]	1	66	7	7	4	11	5	12	9	11
2	+	chr2:132263147-132312049	ENSMUSG00000058793	Cds2	protein_coding	[132312048, 132307617]	2	2934	381	381	355	357	325	414	386	335
6	+	chr6:15720660-15802168	ENSMUSG00000041390	Mdfic	protein_coding	[15802162]	1	65	3	12	12	5	11	6	5	11
13	+	chr13:96388293-96415586	ENSMUSG00000021671	Poc5	protein_coding	[96415571]	1	108	13	17	14	13	10	14	20	7
4	+	chr4:136172393-136196056	ENSMUSG00000018983	E2f2	protein_coding	[136196053]	1	63	9	7	7	0	6	11	9	14
2	-	chr2:110360916-110363182	ENSMUSG00000074971	Fibin	protein_coding	[110361331, 110360925]	2	253	34	42	28	30	25	28	24	42
19	-	chr19:12765632-12796125	ENSMUSG00000024695	Zfp91	protein_coding	[12767019, 12767636]	2	1617	209	224	177	230	170	222	172	213
2	+	chr2:181319738-181356615	ENSMUSG00000038685	Rtel1	protein_coding	[181356614]	1	312	23	44	38	32	42	60	38	35
11	+	chr11:77982753-78030538	ENSMUSG00000037791	Phf12	protein_coding	[78030532]	1	832	98	99	97	78	96	134	113	117
5	-	chr5:143503633-143528035	ENSMUSG00000001847	Rac1	protein_coding	[143505481]	1	14577	1777	1851	1924	1546	1683	2232	1851	1713
10	-	chr10:75771229-75773413	ENSMUSG00000001666	Ddt	protein_coding	[75771232]	1	1182	154	144	145	137	126	170	134	172
19	-	chr19:8706881-8723368	ENSMUSG00000010095	Slc3a2	protein_coding	[8707570]	1	2324	261	303	249	222	293	361	365	270
5	-	chr5:5664828-5694577	ENSMUSG00000015653	Steap2	protein_coding	[5671728, 5668530]	2	175	35	25	15	23	15	22	18	22
17	+	chr17:13007838-13018118	ENSMUSG00000006818	Sod2	protein_coding	[13015604]	1	130	17	17	20	14	10	19	13	20
12	+	chr12:69296680-69310686	ENSMUSG00000020978	Klhdc2	protein_coding	[69310463]	1	3179	417	402	400	372	313	484	361	430
2	+	chr2:174076307-174099770	ENSMUSG00000027522	Stx16	protein_coding	[174099655]	1	1241	176	165	178	145	138	173	156	110
1	+	chr1:63273264-63314575	ENSMUSG00000027520	Zdbf2	protein_coding	[63314574]	1	2550	329	297	347	389	250	346	274	318
2	+	chr2:91457510-91513778	ENSMUSG00000027253	Lrp4	protein_coding	[91513899]	1	1025	163	159	120	157	75	140	92	119
2	+	chr2:121289599-121310831	ENSMUSG00000027254	Map1a	protein_coding	[121309434]	1	2565	348	342	300	350	271	394	255	305
2	+	chr2:91255953-91264678	ENSMUSG00000027257	Pacsin3	protein_coding	[91264677]	1	420	48	67	49	63	37	44	52	60
11	-	chr11:59791407-59810015	ENSMUSG00000032633	Flcn	protein_coding	[59791752, 59791454]	2	475	68	52	70	45	50	66	62	62
17	-	chr17:47686645-47688385	ENSMUSG00000033475	Tomm6	protein_coding	[47686732]	1	231	32	32	27	27	16	22	42	33
8	-	chr8:104639838-104641964	ENSMUSG00000031879	Fam96b	protein_coding	[104639848]	1	455	57	49	58	48	53	61	62	67
9	+	chr9:15505486-15545259	ENSMUSG00000058173	Smco4	protein_coding	[15545256]	1	662	77	75	66	76	78	87	77	126
19	+	chr19:57361008-57389593	ENSMUSG00000033478	Fam160b1	protein_coding	[57389584]	1	214	26	22	44	21	22	27	27	25
3	-	chr3:37714189-37724489	ENSMUSG00000058174	Gm5148	protein_coding	[37714187]	1	38	7	5	3	8	4	7	3	1
10	+	chr10:94688789-94790335	ENSMUSG00000020024	Cep83	protein_coding	[94790336]	1	43	6	5	4	2	5	6	8	7
5	+	chr5:122354368-122364983	ENSMUSG00000029462	Vps29	protein_coding	[122362995, 122363285, 122364982]	3	2498	310	315	307	281	271	370	333	311
10	-	chr10:13523841-13553141	ENSMUSG00000019809	Pex3	protein_coding	[13523945, 13524117]	2	180	17	28	28	21	17	22	28	19
14	-	chr14:47240943-47276856	ENSMUSG00000037572	Wdhd1	protein_coding	[47240944]	1	662	88	105	80	68	78	106	72	65
19	-	chr19:44147636-44192441	ENSMUSG00000037578	Pkd2l1	protein_coding	[44147637]	1	94	16	12	14	13	12	10	5	12
10	+	chr10:3740363-3967302	ENSMUSG00000040624	Plekhg1	protein_coding	[3967294]	1	607	65	89	76	89	60	92	72	64
6	-	chr6:113415318-113419339	ENSMUSG00000051169	Rpusd3	protein_coding	[113415346]	1	39	8	2	7	3	7	6	2	4
1	+	chr1:33719886-33742563	ENSMUSG00000004768	Rab23	protein_coding	[33740708, 33742559]	2	111	13	18	17	8	15	14	12	14
12	-	chr12:98786603-98901483	ENSMUSG00000051166	Eml5	protein_coding	[98789150, 98787215]	2	279	30	43	23	28	40	59	30	26
5	-	chr5:146582397-146585238	ENSMUSG00000041468	Gpr12	protein_coding	[146579928, 146582751, 146582399]	3	943	135	105	124	113	103	106	133	124
6	-	chr6:24951140-24956296	ENSMUSG00000048022	Tmem229a	protein_coding	[24953304, 24951141]	2	361	45	46	43	46	39	50	36	56
7	-	chr7:45472955-45488804	ENSMUSG00000011382	Dhdh	protein_coding	[45472956]	1	114	15	12	12	14	13	16	10	22
17	-	chr17:15806252-15826585	ENSMUSG00000048027	Rgmb	protein_coding	[15805306, 15804668, 15806821]	3	1807	248	208	223	218	174	230	233	273
X	+	chrX:159210306-159368243	ENSMUSG00000031309	Rps6ka3	protein_coding	[159367769, 159368242]	2	705	75	88	79	74	77	88	112	112
15	-	chr15:3982035-3995751	ENSMUSG00000041935	AW549877	protein_coding	[3982035, 3982390, 3983431]	3	579	64	60	60	62	71	81	71	110
4	-	chr4:156165289-156197487	ENSMUSG00000041936	Agrn	protein_coding	[156165293]	1	8261	995	1024	1062	958	900	1234	967	1121
X	+	chrX:101299167-101325962	ENSMUSG00000031302	Nlgn3	protein_coding	[101325649, 101324188, 101325211, 101323907, 101325961]	5	1481	218	192	170	195	154	199	183	170
X	-	chrX:101264377-101268254	ENSMUSG00000031304	Il2rg	protein_coding	[101264388]	1	45	4	5	1	8	6	4	5	12
17	-	chr17:35897594-35910074	ENSMUSG00000024426	Atat1	protein_coding	[35897609, 35899851]	2	1530	224	178	176	163	168	256	221	144
19	+	chr19:8819400-8834141	ENSMUSG00000071659	Hnrnpul2	protein_coding	[8832073, 8834139, 8831775]	3	2191	248	265	292	309	239	305	246	287
1	+	chr1:161969185-161973434	ENSMUSG00000026698	Pigc	protein_coding	[161971622]	1	611	86	71	72	76	78	84	64	80
1	-	chr1:36548638-36558348	ENSMUSG00000026121	Sema4c	protein_coding	[36548654]	1	2142	248	267	262	216	256	357	319	217
19	+	chr19:8892627-8897889	ENSMUSG00000071652	Ints5	protein_coding	[8897879]	1	584	82	76	73	51	72	95	62	73
1	+	chr1:34849975-34879579	ENSMUSG00000026123	Plekhb2	protein_coding	[34879576]	1	2517	316	335	311	316	262	371	311	295
19	+	chr19:8837466-8848682	ENSMUSG00000071657	Bscl2	protein_coding	[8848665]	1	1077	136	137	123	129	114	155	119	164
1	+	chr1:162570514-162599083	ENSMUSG00000026696	Vamp4	protein_coding	[162595269]	1	270	36	37	35	31	34	32	30	35
1	+	chr1:34439850-34449355	ENSMUSG00000026127	Imp4	protein_coding	[34445746, 34444957, 34449309]	3	246	28	31	32	21	29	35	31	39
1	-	chr1:162532126-162548550	ENSMUSG00000026694	Mettl13	protein_coding	[162533674, 162532126]	2	187	26	23	25	12	30	29	23	19
18	+	chr18:38418974-38464398	ENSMUSG00000024425	Ndfip1	protein_coding	[38465183]	1	13392	1703	1752	1770	1553	1400	2071	1633	1510
14	-	chr14:31237695-31251217	ENSMUSG00000021902	Phf7	protein_coding	[31237695]	1	49	4	8	6	10	6	7	5	3
9	-	chr9:83778691-83806276	ENSMUSG00000032262	Elovl4	protein_coding	[83778699]	1	1063	140	138	134	125	97	169	135	125
11	+	chr11:100619243-100627606	ENSMUSG00000017837	Nkiras2	protein_coding	[100627601]	1	889	127	106	126	84	90	141	102	113
5	-	chr5:41787537-41844314	ENSMUSG00000061755	Bod1l	protein_coding	[41795096, 41787541, 41787711]	3	646	78	82	92	60	63	105	86	80
10	-	chr10:117050997-117063813	ENSMUSG00000034024	Cct2	protein_coding	[117051005]	1	3251	366	373	406	311	382	547	437	429
4	-	chr4:115967144-116017925	ENSMUSG00000034171	Faah	protein_coding	[115996670]	1	103	10	18	12	13	7	21	11	11
14	+	chr14:31641027-31668578	ENSMUSG00000021900	Btd	protein_coding	[31668184]	1	169	20	22	25	27	17	14	26	18
16	-	chr16:33974257-34573531	ENSMUSG00000061751	Kalrn	protein_coding	[34152024, 34013135]	2	188	22	21	31	15	28	29	25	17
1	+	chr1:24678629-24766300	ENSMUSG00000073725	Lmbrd1	protein_coding	[24762875, 24763563, 24763030]	3	691	95	104	96	106	62	86	61	81
8	+	chr8:128685653-128733199	ENSMUSG00000025809	Itgb1	protein_coding	[128732616, 128733194, 128724219, 128691548]	4	1602	213	220	198	149	181	198	198	245
10	+	chr10:4432466-4455140	ENSMUSG00000061759	Armt1	protein_coding	[4455138]	1	97	16	13	5	9	8	20	12	14
6	+	chr6:34384217-34396949	ENSMUSG00000061758	Akr1b10	protein_coding	[34396947]	1	95	18	8	13	11	4	9	12	20
3	-	chr3:84496092-84582624	ENSMUSG00000074513	Arfip1	protein_coding	[84496094, 84496423]	2	381	48	44	49	46	42	60	41	51
13	-	chr13:12186541-12258112	ENSMUSG00000021311	Mtr	protein_coding	[12182714]	1	138	17	22	19	18	9	21	13	19
5	+	chr5:30711563-30799374	ENSMUSG00000029168	Dpysl5	protein_coding	[30744288]	1	50	6	10	3	7	2	3	13	6
5	-	chr5:52150202-52190513	ENSMUSG00000029169	Dhx15	protein_coding	[52150215]	1	1414	163	183	177	128	180	232	190	161
5	+	chr5:5573798-5576945	ENSMUSG00000073234	Gm8773	lincRNA	[5576202]	1	81	9	7	13	9	11	4	16	12
5	-	chr5:51454249-51567725	ENSMUSG00000029167	Ppargc1a	protein_coding	[51457680, 51454249]	2	940	143	107	143	79	99	127	111	131
5	-	chr5:30933142-30945590	ENSMUSG00000029161	Cgref1	protein_coding	[30933143]	1	469	44	57	64	39	56	68	74	67
5	+	chr5:30921430-30931247	ENSMUSG00000029162	Khk	protein_coding	[30931244]	1	164	13	20	13	25	25	31	13	24
5	+	chr5:30913401-30921276	ENSMUSG00000029163	Emilin1	protein_coding	[30921265]	1	47	4	9	5	1	6	11	5	6
6	-	chr6:102937352-102937537	ENSMUSG00000108294	RP23-77B7.1	processed_pseudogene	[102936241]	1	53	11	7	7	8	8	3	3	6
8	+	chr8:122476142-122484137	ENSMUSG00000049482	Ctu2	protein_coding	[122481740]	1	617	63	75	84	65	71	89	100	70
1	+	chr1:127774163-127808060	ENSMUSG00000026349	Ccnt2	protein_coding	[127808057, 127804778]	2	583	78	69	72	56	66	85	82	75
11	-	chr11:78750505-78751728	ENSMUSG00000049489	Fam58b	protein_coding	[78750506]	1	251	25	26	27	32	20	40	38	43
4	-	chr4:12039354-12090019	ENSMUSG00000049488	Tmem67	protein_coding	[12039362, 12039644]	2	152	20	21	16	10	19	23	25	18
1	-	chr1:127486545-127679547	ENSMUSG00000026347	Tmem163	protein_coding	[127490897, 127487237]	2	802	104	122	104	98	84	105	94	91
1	-	chr1:125392904-125435726	ENSMUSG00000026341	Actr3	protein_coding	[125393242, 125392908]	2	4389	566	540	514	448	508	604	667	542
1	+	chr1:125560594-125595819	ENSMUSG00000026342	Slc35f5	protein_coding	[125595726]	1	95	15	13	7	9	17	13	10	11
17	+	chr17:34931252-34935952	ENSMUSG00000007038	Neu1	protein_coding	[34935951]	1	246	32	39	37	32	23	28	28	27
17	+	chr17:35059034-35062094	ENSMUSG00000007039	Ddah2	protein_coding	[35062088]	1	4235	498	491	462	500	476	579	502	727
17	+	chr17:35089262-35102986	ENSMUSG00000007036	Abhd16a	protein_coding	[35102982]	1	1111	151	126	151	111	126	170	150	126
17	+	chr17:35979850-35989461	ENSMUSG00000024429	Gnl1	protein_coding	[35988865]	1	753	91	97	94	84	79	119	108	81
16	-	chr16:55839952-55895278	ENSMUSG00000075033	Nxpe3	protein_coding	[55843197]	1	117	9	19	13	18	10	22	16	10
10	-	chr10:76259428-76345290	ENSMUSG00000020231	Dip2a	protein_coding	[76263050]	1	1060	137	128	124	98	123	171	138	141
6	-	chr6:76881636-77979698	ENSMUSG00000063063	Ctnna2	protein_coding	[76907373, 76881638]	2	4753	577	522	544	568	550	707	630	655
15	-	chr15:98538688-98570922	ENSMUSG00000011960	Ccnt1	protein_coding	[98538690, 98539451]	2	265	26	27	20	28	31	41	38	54
3	-	chr3:94612756-94658871	ENSMUSG00000005968	Tuft1	protein_coding	[94612758]	1	138	19	15	13	14	9	34	19	15
7	-	chr7:126382853-126396736	ENSMUSG00000030722	Nfatc2ip	protein_coding	[126382853]	1	82	13	6	15	9	10	10	9	10
X	+	chrX:159588464-159589026	ENSMUSG00000083906	Gm15186	processed_pseudogene	[159593063]	1	148	27	19	27	8	19	22	16	10
10	+	chr10:44359675-44359767	ENSMUSG00000089260	Mir1929	miRNA	[44363636]	1	46	2	6	8	5	9	5	4	7
9	-	chr9:109057932-109059733	ENSMUSG00000049734	Trex1	protein_coding	[109057937]	1	114	18	10	22	13	8	17	10	16
11	-	chr11:60400625-60418456	ENSMUSG00000042709	Atpaf2	protein_coding	[60401044]	1	81	10	15	9	6	6	6	11	18
4	-	chr4:125055337-125065702	ENSMUSG00000042707	Dnali1	protein_coding	[125055338]	1	40	4	5	2	4	5	9	2	9
6	-	chr6:113168089-113195383	ENSMUSG00000042873	Lhfpl4	protein_coding	[113168089]	1	5472	652	663	715	550	644	817	731	700
7	+	chr7:30565426-30567961	ENSMUSG00000036826	Igflr1	protein_coding	[30567957]	1	201	32	28	22	34	18	23	28	16
13	-	chr13:25252039-25270501	ENSMUSG00000048978	Nrsn1	protein_coding	[25252038]	1	849	123	112	101	82	77	134	132	88
4	-	chr4:40259600-40269849	ENSMUSG00000036822	Topors	protein_coding	[40259602]	1	141	15	19	18	17	19	25	15	13
2	+	chr2:164911353-164919952	ENSMUSG00000085436	Zfp335os	antisense	[164919952]	1	38	6	7	2	5	3	2	6	7
5	-	chr5:52079887-52082331	ENSMUSG00000106292	RP24-299M10.1	TEC	[52081884]	1	98	11	10	6	8	10	20	13	20
4	+	chr4:116221617-116303055	ENSMUSG00000028698	Pik3r3	protein_coding	[116270792, 116303052]	2	1132	155	163	160	141	123	187	118	85
11	+	chr11:4160349-4182540	ENSMUSG00000002129	Sf3a1	protein_coding	[4182508]	1	191	24	22	27	13	23	32	27	23
4	+	chr4:116507548-116538242	ENSMUSG00000028696	Ipp	protein_coding	[116540821]	1	59	9	4	7	5	2	10	11	11
4	+	chr4:116685543-116700821	ENSMUSG00000028691	Prdx1	protein_coding	[116700822, 116699998]	2	108	8	12	14	9	13	17	18	17
4	-	chr4:116601051-116627940	ENSMUSG00000028693	Nasp	protein_coding	[116601609, 116601051]	2	2482	291	262	321	281	291	384	322	330
4	-	chr4:116636509-116651679	ENSMUSG00000028692	Akr1a1	protein_coding	[116636510]	1	8320	1002	932	992	843	979	1381	1152	1039
11	+	chr11:102189619-102194080	ENSMUSG00000034793	G6pc3	protein_coding	[102194077]	1	289	42	34	38	28	29	37	46	35
2	+	chr2:152417261-152417323	ENSMUSG00000088139	Gm27343	snRNA	[152417800]	1	48	4	7	4	6	3	7	10	7
8	-	chr8:71624416-71671756	ENSMUSG00000034799	Unc13a	protein_coding	[71624416]	1	46	9	1	10	4	7	5	6	4
5	-	chr5:138603651-138619760	ENSMUSG00000058291	Zfp68	protein_coding	[138604626, 138603651, 138616186, 138606119]	4	341	44	41	46	41	36	59	44	30
9	-	chr9:15316914-15357787	ENSMUSG00000046111	Cep295	protein_coding	[15319326]	1	65	8	8	8	10	6	8	11	6
15	-	chr15:96687393-96699697	ENSMUSG00000022462	Slc38a2	protein_coding	[96687393]	1	2183	256	268	297	205	262	336	309	250
5	+	chr5:112255814-112269584	ENSMUSG00000029343	Crybb1	protein_coding	[112269578]	1	43	8	5	5	8	4	4	4	5
5	+	chr5:112276690-112315360	ENSMUSG00000029344	Tpst2	protein_coding	[112315354]	1	380	35	52	33	41	52	68	42	57
5	+	chr5:112326357-112338072	ENSMUSG00000029345	Tfip11	protein_coding	[112337385]	1	94	13	8	7	5	15	14	12	20
15	-	chr15:97675104-97705821	ENSMUSG00000022466	Rpap3	protein_coding	[97675103]	1	671	96	78	76	53	68	104	98	98
5	-	chr5:112384353-112394865	ENSMUSG00000029348	Asphd2	protein_coding	[112384355]	1	155	22	15	16	17	21	22	22	20
1	-	chr1:192844487-192855755	ENSMUSG00000016262	Sertad4	protein_coding	[192844488]	1	1203	161	146	142	118	133	206	152	145
15	-	chr15:34572798-34678705	ENSMUSG00000038879	Nipal2	protein_coding	[34574921, 34573047]	2	98	15	9	13	14	11	10	16	10
7	+	chr7:5056151-5060784	ENSMUSG00000035228	Ccdc106	protein_coding	[5060781]	1	368	37	43	43	47	29	69	61	39
10	-	chr10:42312584-42478564	ENSMUSG00000038302	Lace1	protein_coding	[42312585]	1	106	17	16	7	21	11	6	12	16
6	+	chr6:34476206-34505612	ENSMUSG00000038871	Bpgm	protein_coding	[34505124]	1	894	110	112	100	93	107	166	102	104
2	-	chr2:163859750-163918682	ENSMUSG00000035226	Rims4	protein_coding	[163911020]	1	40	8	5	4	2	6	8	3	4
7	-	chr7:99837568-99858882	ENSMUSG00000035227	Spcs2	protein_coding	[99838907]	1	2013	302	259	238	226	203	310	246	229
10	-	chr10:29344177-29362441	ENSMUSG00000038876	Rnf146	protein_coding	[29346434, 29346175]	2	1516	210	183	224	164	122	198	195	220
1	+	chr1:57774161-57948393	ENSMUSG00000038305	Spats2l	protein_coding	[57948393, 57946962]	2	190	26	15	22	23	10	27	20	47
2	+	chr2:158379533-158379665	ENSMUSG00000064585	Gm25129	snoRNA	[158381648]	1	89	12	9	11	9	10	12	12	14
11	-	chr11:11279625-11462407	ENSMUSG00000020193	Zpbp	protein_coding	[11279625]	1	49	6	14	11	4	1	4	4	5
10	-	chr10:80665326-80678111	ENSMUSG00000020190	Mknk2	protein_coding	[80665331]	1	351	27	51	42	30	45	42	56	58
11	+	chr11:11462093-11515191	ENSMUSG00000020191	4930415F15Rik	protein_coding	[11463640]	1	74	9	8	8	6	16	7	11	9
10	-	chr10:75646109-75764356	ENSMUSG00000020196	Cabin1	protein_coding	[75646113]	1	646	68	80	93	68	76	111	78	72
15	+	chr15:103018933-103036851	ENSMUSG00000075394	Hoxc4	protein_coding	[103036850, 103036654]	2	2658	299	299	401	254	298	299	553	255
4	+	chr4:48585173-48663130	ENSMUSG00000028347	Tmeff1	protein_coding	[48602128, 48663135]	2	434	48	45	57	56	40	65	68	55
11	+	chr11:88098057-88194139	ENSMUSG00000018378	Cuedc1	protein_coding	[88194127]	1	1591	181	224	178	150	206	281	236	135
4	-	chr4:41194312-41275143	ENSMUSG00000028433	Ubap2	protein_coding	[41194315]	1	474	65	61	55	47	59	74	62	51
4	+	chr4:48279759-48431953	ENSMUSG00000028344	Invs	protein_coding	[48431952]	1	76	11	6	13	10	7	13	9	7
4	-	chr4:48193322-48279557	ENSMUSG00000028343	Erp44	protein_coding	[48194480, 48193333, 48190711]	3	676	70	79	69	75	79	80	109	115
4	+	chr4:41348995-41390524	ENSMUSG00000028437	Ubap1	protein_coding	[41389057, 41389764]	2	449	61	52	63	49	52	53	66	53
4	-	chr4:41291299-41314888	ENSMUSG00000028436	Dcaf12	protein_coding	[41291302]	1	2423	297	278	256	273	302	426	325	266
4	-	chr4:41517690-41569537	ENSMUSG00000028439	Fam219a	protein_coding	[41518945]	1	140	28	14	11	10	12	21	20	24
11	+	chr11:106789251-106819929	ENSMUSG00000018372	Cep95	protein_coding	[106790208]	1	44	8	2	8	2	7	8	7	2
1	-	chr1:88673124-88702220	ENSMUSG00000049866	Arl4c	protein_coding	[88700193, 88698227]	2	5241	643	607	681	604	601	745	697	663
12	+	chr12:21111747-21270170	ENSMUSG00000052632	Asap2	protein_coding	[21270169]	1	369	45	62	39	50	34	50	53	36
2	-	chr2:170346990-170427844	ENSMUSG00000013523	Bcas1	protein_coding	[170347147]	1	276	33	46	37	79	20	18	19	24
8	+	chr8:83900104-83941953	ENSMUSG00000013033	Adgrl1	protein_coding	[83941945]	1	2469	281	258	244	339	232	289	351	475
5	+	chr5:143329246-143332703	ENSMUSG00000089889	0610040B10Rik	antisense	[143332699]	1	184	32	27	21	20	21	29	19	15
4	-	chr4:141677548-141723418	ENSMUSG00000078515	Ddi2	protein_coding	[141677552, 141683564]	2	1182	170	149	153	127	138	165	153	127
17	+	chr17:57249450-57263696	ENSMUSG00000019487	Trip10	protein_coding	[57263419]	1	96	10	9	12	7	11	7	18	22
16	+	chr16:92301285-92313040	ENSMUSG00000051989	Smim11	protein_coding	[92313038]	1	512	54	58	53	54	63	68	63	99
13	-	chr13:104205120-104228843	ENSMUSG00000021713	Ppwd1	protein_coding	[104223152, 104205123]	2	154	17	13	29	22	11	21	21	20
13	-	chr13:34127007-34130353	ENSMUSG00000045136	Tubb2b	protein_coding	[34123261]	1	58	2	5	4	4	9	8	12	14
3	-	chr3:104163923-104167199	ENSMUSG00000106432	RP23-333I5.3	sense_intronic	[104164602]	1	72	11	7	8	4	8	11	12	11
5	-	chr5:139471210-139484548	ENSMUSG00000053581	Zfand2a	protein_coding	[139471216]	1	431	42	37	54	55	42	84	66	51
5	-	chr5:32713071-32713987	ENSMUSG00000106680	RP23-353M5.2	TEC	[32713079]	1	35	1	6	6	5	5	7	2	3
8	-	chr8:85017933-85025277	ENSMUSG00000052456	Asna1	protein_coding	[85017931]	1	369	42	45	45	48	32	57	57	43
9	-	chr9:41011097-41161696	ENSMUSG00000032020	Ubash3b	protein_coding	[41013664, 41011098]	2	468	54	50	52	51	53	75	74	59
9	+	chr9:40685961-40785318	ENSMUSG00000032024	Clmp	protein_coding	[40785550, 40785311]	2	617	74	69	78	62	65	88	72	109
9	-	chr9:48468513-48480610	ENSMUSG00000032026	Rexo2	protein_coding	[48468513, 48473475]	2	804	109	106	94	100	75	110	105	105
11	-	chr11:45928268-45944934	ENSMUSG00000044847	Lsm11	protein_coding	[45930717, 45928269]	2	2444	314	287	331	351	245	315	298	303
4	+	chr4:33208990-33233339	ENSMUSG00000054679	Srsf12	protein_coding	[33233340]	1	187	25	30	19	19	15	37	14	28
5	-	chr5:113793728-113800515	ENSMUSG00000054675	Tmem119	protein_coding	[113793729]	1	160	13	24	24	17	21	17	14	30
7	+	chr7:38183216-38197567	ENSMUSG00000054676	1600014C10Rik	protein_coding	[38197561, 38196590]	2	481	62	52	53	47	55	80	76	56
8	+	chr8:123373823-123404172	ENSMUSG00000001472	Tcf25	protein_coding	[123403402, 123403834]	2	368	45	49	39	31	39	55	53	57
18	+	chr18:67390716-67402747	ENSMUSG00000001473	Tubb6	protein_coding	[67402746]	1	49	6	7	5	7	7	3	9	5
10	+	chr10:86021971-86051872	ENSMUSG00000001786	Fbxo7	protein_coding	[86051871, 86048327]	2	642	82	59	105	71	69	102	65	89
10	+	chr10:85871830-85889095	ENSMUSG00000001785	Pwp1	protein_coding	[85888354, 85889101, 85888927]	3	319	36	41	42	38	33	44	36	49
2	+	chr2:164025449-164050537	ENSMUSG00000054582	Pabpc1l	protein_coding	[164050530]	1	36	4	2	5	3	3	7	7	5
10	-	chr10:85938636-85957822	ENSMUSG00000001783	Rtcb	protein_coding	[85938636]	1	4024	505	504	508	428	439	607	549	484
4	+	chr4:53011879-53022059	ENSMUSG00000015247	Nipsnap3b	protein_coding	[53022052]	1	2015	232	221	243	223	266	312	280	238
10	+	chr10:45577828-45712344	ENSMUSG00000038822	Hace1	protein_coding	[45712265, 45584350]	2	360	55	45	50	27	29	53	42	59
11	+	chr11:88059065-88067475	ENSMUSG00000087373	Gm15892	lincRNA	[88067475]	1	103	15	9	12	7	11	20	13	16
10	+	chr10:82178234-82198384	ENSMUSG00000087481	Gm15608	antisense	[82194633]	1	43	8	6	5	9	4	6	4	1
6	+	chr6:88902250-88912237	ENSMUSG00000002871	Tpra1	protein_coding	[88912232]	1	670	87	85	69	66	65	124	86	88
6	-	chr6:88883473-88898779	ENSMUSG00000002870	Mcm2	protein_coding	[88883474]	1	425	59	55	39	47	51	55	57	62
11	+	chr11:90030347-90036507	ENSMUSG00000069763	Tmem100	protein_coding	[90036504]	1	346	45	47	52	48	31	38	31	54
10	-	chr10:78400361-78413042	ENSMUSG00000061032	Rrp1	protein_coding	[78400386]	1	2019	267	238	227	249	219	336	244	239
9	+	chr9:62341292-62378811	ENSMUSG00000032249	Anp32a	protein_coding	[62378799]	1	2088	264	230	256	227	225	369	277	240
14	-	chr14:57832701-57890261	ENSMUSG00000021969	Zdhhc20	protein_coding	[57832775]	1	1081	143	144	107	123	157	150	116	141
9	+	chr9:62838784-62852005	ENSMUSG00000032245	Cln6	protein_coding	[62852001]	1	126	20	13	8	16	11	33	11	14
17	-	chr17:56278961-56290510	ENSMUSG00000024197	Plin3	protein_coding	[56278968]	1	175	11	14	18	21	15	25	19	52
17	-	chr17:36255644-36258068	ENSMUSG00000024446	Rpp21	protein_coding	[36255672]	1	345	29	30	39	38	44	66	56	43
9	+	chr9:62858103-62875917	ENSMUSG00000032246	Calml4	protein_coding	[62875914]	1	59	3	7	7	9	9	8	8	8
18	-	chr18:38267091-38284401	ENSMUSG00000024440	Pcdh12	protein_coding	[38267089]	1	43	8	6	6	3	6	4	4	6
X	-	chrX:37082519-37085401	ENSMUSG00000079641	Rpl39	protein_coding	[37082551]	1	1133	139	125	128	109	134	174	163	161
14	+	chr14:30479564-30527055	ENSMUSG00000021962	Dcp1a	protein_coding	[30527054]	1	150	29	14	10	12	15	20	29	21
17	+	chr17:26781078-26792564	ENSMUSG00000024191	Bnip1	protein_coding	[26792518]	1	433	73	46	56	45	48	74	44	47
16	-	chr16:87376650-87432605	ENSMUSG00000052299	Ltn1	protein_coding	[87377580, 87376651, 87378124, 87377262]	4	400	59	42	63	66	37	53	39	41
13	+	chr13:24801656-24814012	ENSMUSG00000019132	BC005537	protein_coding	[24813984, 24813607]	2	1575	201	226	236	170	150	222	177	193
14	-	chr14:55662264-55671905	ENSMUSG00000010376	Nedd8	protein_coding	[55662263]	1	9089	1235	1119	1198	1011	972	1386	1044	1124
8	+	chr8:70594480-70597287	ENSMUSG00000019139	Isyna1	protein_coding	[70597287]	1	784	100	109	90	94	108	113	71	99
X	+	chrX:13280969-13294051	ENSMUSG00000000787	Ddx3x	protein_coding	[13284938, 13293987]	2	958	107	92	119	99	120	140	157	124
8	-	chr8:11611582-11635753	ENSMUSG00000031508	Ankrd10	protein_coding	[11611582]	1	1054	132	130	127	106	106	166	146	141
1	-	chr1:82233100-82291415	ENSMUSG00000055980	Irs1	protein_coding	[82233106]	1	1792	186	247	204	196	197	254	245	263
5	+	chr5:135089889-135138381	ENSMUSG00000005373	Mlxipl	protein_coding	[135137921]	1	52	9	7	3	2	3	7	4	17
19	-	chr19:60864050-60874555	ENSMUSG00000024997	Prdx3	protein_coding	[60864065]	1	548	58	54	54	74	45	76	68	119
